suite_id,sample_id,code,label,character
32,9,9,8,八
90,7,12,11,百
78,10,5,4,四
8,2,4,3,三
57,8,13,12,千
99,3,15,14,亿
24,3,9,8,八
91,5,10,9,九
59,9,8,7,七
46,5,14,13,万
34,1,5,4,四
2,6,5,4,四
82,7,11,10,十
67,6,9,8,八
9,3,4,3,三
94,9,13,12,千
39,7,10,9,九
15,2,12,11,百
90,8,9,8,八
83,2,15,14,亿
33,1,9,8,八
21,3,15,14,亿
27,1,3,2,二
55,3,13,12,千
82,5,12,11,百
91,7,9,8,八
67,5,9,8,八
84,8,8,7,七
87,2,5,4,四
47,2,3,2,二
78,6,10,9,九
8,2,13,12,千
40,1,9,8,八
21,4,11,10,十
3,2,7,6,六
55,1,12,11,百
42,9,2,1,一
33,3,12,11,百
87,1,12,11,百
29,10,11,10,十
82,2,5,4,四
87,4,14,13,万
58,1,9,8,八
37,1,2,1,一
55,9,6,5,五
9,5,8,7,七
77,7,1,0,零
92,4,14,13,万
57,2,14,13,万
44,2,1,0,零
7,2,11,10,十
50,8,6,5,五
71,9,2,1,一
88,1,3,2,二
13,5,14,13,万
13,8,9,8,八
81,8,11,10,十
33,5,12,11,百
78,10,13,12,千
69,3,7,6,六
6,4,5,4,四
25,6,9,8,八
52,9,1,0,零
12,5,12,11,百
36,10,4,3,三
54,8,8,7,七
19,3,15,14,亿
35,5,11,10,十
20,9,7,6,六
70,7,14,13,万
95,2,13,12,千
59,8,1,0,零
37,7,14,13,万
64,3,8,7,七
49,4,10,9,九
55,9,15,14,亿
86,8,10,9,九
73,7,2,1,一
48,9,14,13,万
38,10,15,14,亿
85,10,10,9,九
20,7,7,6,六
6,4,6,5,五
89,8,8,7,七
58,7,6,5,五
99,4,10,9,九
85,7,9,8,八
1,10,4,3,三
59,4,11,10,十
55,1,9,8,八
97,3,11,10,十
95,10,11,10,十
21,2,9,8,八
53,4,4,3,三
39,6,9,8,八
33,5,5,4,四
55,3,12,11,百
59,9,15,14,亿
22,2,6,5,五
84,5,12,11,百
72,1,14,13,万
49,5,12,11,百
3,3,12,11,百
13,1,13,12,千
100,4,5,4,四
45,1,10,9,九
32,4,4,3,三
61,9,2,1,一
26,8,15,14,亿
73,9,2,1,一
86,8,4,3,三
100,3,11,10,十
35,8,13,12,千
53,4,1,0,零
14,9,4,3,三
67,7,9,8,八
91,2,1,0,零
96,8,2,1,一
21,1,3,2,二
30,10,14,13,万
47,4,15,14,亿
41,4,2,1,一
76,5,2,1,一
53,8,1,0,零
35,10,7,6,六
16,1,14,13,万
81,3,10,9,九
59,1,11,10,十
1,9,11,10,十
96,1,9,8,八
7,7,3,2,二
75,7,12,11,百
30,7,1,0,零
17,5,15,14,亿
67,8,10,9,九
82,1,3,2,二
87,2,12,11,百
97,5,14,13,万
20,4,2,1,一
32,4,8,7,七
82,10,2,1,一
59,1,10,9,九
29,8,6,5,五
64,7,15,14,亿
77,7,2,1,一
35,1,9,8,八
28,10,10,9,九
57,2,7,6,六
65,4,6,5,五
8,10,11,10,十
94,2,5,4,四
58,3,13,12,千
51,7,2,1,一
48,8,11,10,十
55,5,12,11,百
87,8,12,11,百
48,4,12,11,百
12,5,15,14,亿
80,2,14,13,万
88,3,5,4,四
32,5,4,3,三
52,5,4,3,三
37,4,11,10,十
86,5,9,8,八
55,5,1,0,零
76,2,7,6,六
97,9,13,12,千
10,2,10,9,九
55,1,1,0,零
82,8,10,9,九
8,4,12,11,百
99,3,5,4,四
98,10,7,6,六
5,3,10,9,九
12,9,11,10,十
57,5,9,8,八
68,6,11,10,十
5,7,13,12,千
23,1,6,5,五
18,5,8,7,七
19,1,7,6,六
24,9,8,7,七
20,9,15,14,亿
90,8,12,11,百
49,2,7,6,六
94,1,10,9,九
74,7,4,3,三
50,6,3,2,二
49,6,7,6,六
66,10,2,1,一
96,9,2,1,一
6,8,4,3,三
66,4,14,13,万
32,1,3,2,二
37,7,2,1,一
36,10,7,6,六
45,1,11,10,十
72,3,4,3,三
11,1,10,9,九
31,8,1,0,零
38,10,8,7,七
7,7,13,12,千
7,2,10,9,九
30,1,4,3,三
73,10,4,3,三
38,3,1,0,零
34,1,9,8,八
50,6,15,14,亿
64,9,6,5,五
52,4,9,8,八
76,3,5,4,四
18,8,11,10,十
48,7,6,5,五
61,8,8,7,七
29,9,13,12,千
61,4,2,1,一
5,1,4,3,三
20,8,3,2,二
37,9,13,12,千
46,1,7,6,六
84,5,15,14,亿
53,6,2,1,一
29,8,4,3,三
99,2,7,6,六
30,5,5,4,四
59,3,12,11,百
79,5,14,13,万
4,10,1,0,零
70,6,12,11,百
59,3,2,1,一
90,8,6,5,五
6,3,11,10,十
72,7,4,3,三
77,10,5,4,四
15,10,13,12,千
88,1,7,6,六
6,3,7,6,六
51,4,14,13,万
14,2,7,6,六
85,9,6,5,五
73,7,7,6,六
86,6,14,13,万
32,8,15,14,亿
86,3,12,11,百
60,6,1,0,零
66,9,2,1,一
43,9,6,5,五
96,1,8,7,七
18,9,3,2,二
63,10,14,13,万
100,7,8,7,七
89,6,2,1,一
84,5,8,7,七
28,3,12,11,百
92,9,14,13,万
90,8,5,4,四
73,8,9,8,八
94,2,6,5,五
7,5,7,6,六
19,10,12,11,百
8,10,7,6,六
28,8,8,7,七
66,2,1,0,零
64,10,8,7,七
81,1,2,1,一
95,6,3,2,二
22,3,2,1,一
49,6,14,13,万
6,6,8,7,七
29,6,6,5,五
67,2,2,1,一
100,6,15,14,亿
100,8,10,9,九
27,6,9,8,八
6,10,7,6,六
28,1,5,4,四
100,7,5,4,四
40,5,10,9,九
47,9,11,10,十
14,4,6,5,五
9,1,5,4,四
7,1,8,7,七
32,2,7,6,六
39,9,7,6,六
39,2,10,9,九
67,3,15,14,亿
23,2,7,6,六
17,4,8,7,七
46,10,8,7,七
29,4,14,13,万
96,4,10,9,九
84,9,5,4,四
2,1,10,9,九
93,1,14,13,万
52,2,1,0,零
60,9,15,14,亿
25,7,5,4,四
77,2,2,1,一
73,1,14,13,万
34,10,13,12,千
42,1,12,11,百
56,2,15,14,亿
58,4,12,11,百
34,10,6,5,五
81,7,6,5,五
89,5,12,11,百
12,2,5,4,四
24,8,12,11,百
94,1,3,2,二
9,8,14,13,万
22,3,15,14,亿
27,9,11,10,十
45,4,3,2,二
80,8,3,2,二
62,9,4,3,三
61,3,2,1,一
2,3,13,12,千
1,9,7,6,六
58,4,11,10,十
87,4,6,5,五
33,2,9,8,八
74,6,5,4,四
84,6,8,7,七
33,8,6,5,五
65,2,4,3,三
19,4,5,4,四
69,8,8,7,七
94,5,10,9,九
71,6,5,4,四
59,1,14,13,万
52,2,8,7,七
27,7,7,6,六
89,9,2,1,一
24,7,7,6,六
13,8,4,3,三
34,4,9,8,八
7,5,11,10,十
58,8,7,6,六
6,10,11,10,十
61,7,6,5,五
50,4,9,8,八
60,9,5,4,四
28,3,1,0,零
85,6,5,4,四
12,4,1,0,零
58,10,14,13,万
8,2,11,10,十
22,9,2,1,一
62,5,9,8,八
17,5,11,10,十
19,10,2,1,一
68,6,5,4,四
65,7,2,1,一
34,7,13,12,千
44,1,7,6,六
7,7,10,9,九
26,3,1,0,零
63,5,12,11,百
44,2,11,10,十
96,7,1,0,零
97,3,7,6,六
77,2,10,9,九
73,10,11,10,十
75,7,13,12,千
7,5,9,8,八
81,6,7,6,六
28,5,13,12,千
80,7,10,9,九
46,4,7,6,六
79,7,11,10,十
19,3,14,13,万
79,1,11,10,十
68,5,8,7,七
24,5,5,4,四
79,9,7,6,六
97,5,1,0,零
46,2,1,0,零
100,2,13,12,千
29,8,14,13,万
80,7,8,7,七
10,2,13,12,千
79,5,9,8,八
95,7,4,3,三
78,4,15,14,亿
99,5,9,8,八
64,9,14,13,万
99,5,5,4,四
77,3,1,0,零
44,6,4,3,三
93,3,4,3,三
56,7,10,9,九
41,6,10,9,九
17,8,1,0,零
78,9,8,7,七
32,4,14,13,万
32,2,14,13,万
77,10,6,5,五
91,9,11,10,十
72,10,10,9,九
24,1,1,0,零
31,10,4,3,三
45,6,4,3,三
10,8,15,14,亿
36,3,2,1,一
47,3,14,13,万
85,8,6,5,五
87,8,14,13,万
35,8,11,10,十
2,7,5,4,四
40,2,11,10,十
92,6,12,11,百
88,4,2,1,一
66,5,6,5,五
34,7,11,10,十
62,8,1,0,零
34,6,6,5,五
32,5,7,6,六
40,1,14,13,万
20,8,5,4,四
71,7,13,12,千
10,3,12,11,百
61,9,8,7,七
42,3,14,13,万
100,9,4,3,三
7,7,15,14,亿
39,9,9,8,八
52,2,3,2,二
21,7,12,11,百
46,6,3,2,二
72,5,12,11,百
51,3,15,14,亿
2,4,4,3,三
60,1,12,11,百
34,5,7,6,六
29,6,4,3,三
69,1,4,3,三
47,6,8,7,七
98,6,5,4,四
100,6,9,8,八
82,1,10,9,九
31,5,9,8,八
70,4,15,14,亿
31,1,3,2,二
37,2,10,9,九
15,3,12,11,百
46,9,5,4,四
32,7,6,5,五
97,8,5,4,四
89,5,10,9,九
51,7,11,10,十
80,1,11,10,十
19,5,3,2,二
98,7,5,4,四
1,8,12,11,百
5,4,13,12,千
70,2,10,9,九
9,5,13,12,千
57,7,9,8,八
80,3,3,2,二
69,1,1,0,零
13,7,10,9,九
100,5,6,5,五
58,1,8,7,七
78,5,1,0,零
44,9,12,11,百
71,3,4,3,三
49,4,9,8,八
2,6,14,13,万
82,9,3,2,二
34,7,4,3,三
50,8,11,10,十
78,10,15,14,亿
46,6,11,10,十
51,1,10,9,九
40,8,12,11,百
74,2,12,11,百
12,7,2,1,一
26,10,3,2,二
8,7,7,6,六
73,5,7,6,六
82,4,3,2,二
56,5,14,13,万
64,1,14,13,万
15,1,6,5,五
15,9,7,6,六
12,10,1,0,零
60,1,6,5,五
87,9,13,12,千
44,2,4,3,三
43,9,9,8,八
91,6,7,6,六
49,7,8,7,七
82,7,1,0,零
58,6,5,4,四
8,10,6,5,五
7,4,14,13,万
13,5,11,10,十
34,10,12,11,百
8,3,7,6,六
48,1,9,8,八
58,2,6,5,五
92,4,11,10,十
42,9,1,0,零
90,7,14,13,万
49,9,8,7,七
6,1,8,7,七
15,5,11,10,十
19,5,11,10,十
93,6,13,12,千
57,3,13,12,千
50,6,6,5,五
50,1,10,9,九
11,2,13,12,千
27,7,14,13,万
42,2,8,7,七
44,8,1,0,零
85,10,15,14,亿
65,5,1,0,零
5,2,11,10,十
21,9,12,11,百
37,9,10,9,九
12,8,4,3,三
55,8,2,1,一
92,2,11,10,十
44,3,5,4,四
39,1,8,7,七
66,8,4,3,三
17,3,7,6,六
5,8,2,1,一
76,3,3,2,二
23,3,9,8,八
2,9,12,11,百
45,3,1,0,零
59,6,2,1,一
51,8,1,0,零
36,1,1,0,零
69,3,3,2,二
27,9,6,5,五
94,5,6,5,五
36,8,7,6,六
54,9,12,11,百
13,2,11,10,十
22,2,1,0,零
70,10,11,10,十
34,2,5,4,四
14,7,14,13,万
100,4,15,14,亿
5,6,11,10,十
28,4,3,2,二
41,10,10,9,九
69,8,3,2,二
43,5,9,8,八
1,4,8,7,七
81,3,9,8,八
21,5,13,12,千
50,2,8,7,七
79,10,5,4,四
54,5,10,9,九
46,8,5,4,四
85,7,1,0,零
5,7,9,8,八
75,3,9,8,八
35,6,7,6,六
98,10,6,5,五
58,1,10,9,九
3,5,14,13,万
54,7,15,14,亿
72,1,7,6,六
92,5,5,4,四
86,1,4,3,三
58,7,8,7,七
77,4,10,9,九
40,5,4,3,三
1,3,12,11,百
58,2,12,11,百
15,3,1,0,零
91,8,12,11,百
12,5,9,8,八
28,8,15,14,亿
12,5,3,2,二
33,10,14,13,万
88,5,15,14,亿
11,9,2,1,一
18,1,10,9,九
81,10,5,4,四
22,4,9,8,八
87,2,1,0,零
41,2,15,14,亿
78,6,14,13,万
77,3,2,1,一
89,1,14,13,万
31,2,4,3,三
63,10,10,9,九
58,2,4,3,三
43,5,8,7,七
25,2,1,0,零
100,1,2,1,一
99,2,9,8,八
48,10,12,11,百
56,6,3,2,二
12,4,11,10,十
62,6,6,5,五
59,7,11,10,十
1,9,15,14,亿
52,7,11,10,十
60,7,1,0,零
53,7,5,4,四
80,8,8,7,七
62,9,8,7,七
19,5,12,11,百
80,5,15,14,亿
38,5,8,7,七
11,1,2,1,一
79,3,3,2,二
53,10,15,14,亿
56,9,5,4,四
64,8,10,9,九
52,1,6,5,五
4,10,3,2,二
67,5,2,1,一
7,3,9,8,八
44,6,13,12,千
63,1,11,10,十
93,1,7,6,六
51,4,5,4,四
64,5,11,10,十
77,2,11,10,十
71,7,5,4,四
12,1,12,11,百
16,3,12,11,百
98,3,3,2,二
37,3,8,7,七
26,9,1,0,零
76,10,5,4,四
60,1,4,3,三
32,3,6,5,五
21,7,15,14,亿
24,5,6,5,五
7,5,10,9,九
58,5,12,11,百
42,10,14,13,万
51,6,7,6,六
99,9,13,12,千
31,10,9,8,八
10,4,1,0,零
17,6,15,14,亿
24,5,10,9,九
34,8,9,8,八
27,8,12,11,百
63,9,13,12,千
74,9,6,5,五
77,8,9,8,八
8,7,13,12,千
52,1,7,6,六
70,5,5,4,四
5,8,1,0,零
29,5,12,11,百
12,9,13,12,千
35,6,10,9,九
2,6,11,10,十
46,4,3,2,二
34,10,9,8,八
88,7,6,5,五
49,10,12,11,百
89,6,7,6,六
11,3,2,1,一
38,2,11,10,十
63,3,11,10,十
28,1,14,13,万
73,5,8,7,七
91,8,7,6,六
37,10,6,5,五
14,5,14,13,万
35,4,11,10,十
1,7,15,14,亿
14,9,1,0,零
43,6,1,0,零
100,7,9,8,八
19,9,8,7,七
94,6,8,7,七
15,10,14,13,万
54,7,11,10,十
76,7,6,5,五
59,9,11,10,十
90,4,3,2,二
60,7,15,14,亿
87,1,1,0,零
69,6,4,3,三
69,1,7,6,六
76,4,2,1,一
84,6,11,10,十
64,10,15,14,亿
69,1,2,1,一
78,5,5,4,四
39,5,15,14,亿
40,4,11,10,十
21,10,14,13,万
11,1,4,3,三
33,8,5,4,四
3,6,8,7,七
85,4,14,13,万
74,3,14,13,万
32,1,1,0,零
48,9,8,7,七
34,1,13,12,千
11,2,14,13,万
74,1,1,0,零
3,5,11,10,十
63,8,8,7,七
62,7,4,3,三
6,2,5,4,四
42,10,8,7,七
27,1,5,4,四
31,10,12,11,百
100,5,11,10,十
69,10,6,5,五
44,6,3,2,二
67,9,1,0,零
36,2,9,8,八
15,4,3,2,二
10,9,2,1,一
44,7,13,12,千
37,3,10,9,九
66,6,10,9,九
21,9,1,0,零
60,4,3,2,二
31,6,6,5,五
60,10,4,3,三
77,9,7,6,六
16,6,3,2,二
14,6,3,2,二
20,10,3,2,二
97,1,12,11,百
51,3,3,2,二
61,4,12,11,百
66,9,3,2,二
89,5,13,12,千
46,6,9,8,八
47,6,7,6,六
79,10,14,13,万
66,10,8,7,七
73,4,5,4,四
71,7,1,0,零
94,2,1,0,零
28,3,6,5,五
66,8,7,6,六
70,9,3,2,二
71,9,6,5,五
13,8,1,0,零
85,1,11,10,十
67,1,8,7,七
6,4,11,10,十
7,3,13,12,千
83,10,5,4,四
98,6,7,6,六
71,8,14,13,万
96,3,9,8,八
38,1,13,12,千
26,2,15,14,亿
33,2,12,11,百
17,6,9,8,八
22,7,1,0,零
31,4,14,13,万
79,3,14,13,万
60,5,1,0,零
16,7,5,4,四
72,9,14,13,万
85,7,10,9,九
61,1,2,1,一
58,4,15,14,亿
56,6,15,14,亿
84,8,10,9,九
50,10,15,14,亿
81,9,4,3,三
58,5,3,2,二
5,7,2,1,一
62,7,14,13,万
91,6,15,14,亿
46,7,11,10,十
8,5,15,14,亿
25,2,8,7,七
85,8,13,12,千
63,4,10,9,九
41,5,4,3,三
25,10,8,7,七
15,8,12,11,百
73,2,4,3,三
37,10,12,11,百
15,10,4,3,三
4,3,14,13,万
51,10,11,10,十
98,2,11,10,十
56,2,3,2,二
50,6,14,13,万
26,9,10,9,九
7,6,1,0,零
52,5,10,9,九
33,1,13,12,千
74,4,14,13,万
74,8,15,14,亿
83,3,12,11,百
59,10,14,13,万
1,6,8,7,七
39,6,15,14,亿
30,5,13,12,千
5,3,14,13,万
28,7,5,4,四
82,7,15,14,亿
28,9,5,4,四
76,9,13,12,千
27,2,12,11,百
35,3,3,2,二
29,2,7,6,六
80,4,12,11,百
31,9,2,1,一
30,5,7,6,六
1,10,7,6,六
56,4,10,9,九
53,9,5,4,四
89,10,8,7,七
94,7,10,9,九
59,7,6,5,五
68,5,9,8,八
87,2,6,5,五
34,1,11,10,十
3,4,4,3,三
2,2,10,9,九
41,6,14,13,万
89,5,15,14,亿
14,8,2,1,一
91,7,2,1,一
36,2,12,11,百
58,10,8,7,七
67,7,8,7,七
46,4,4,3,三
83,1,15,14,亿
37,10,5,4,四
1,5,11,10,十
50,1,13,12,千
28,10,3,2,二
49,4,7,6,六
52,1,8,7,七
13,5,13,12,千
6,6,13,12,千
14,6,2,1,一
20,2,12,11,百
54,10,10,9,九
34,10,8,7,七
25,5,13,12,千
22,3,1,0,零
2,9,3,2,二
29,9,10,9,九
89,10,3,2,二
1,10,14,13,万
34,8,7,6,六
72,9,8,7,七
54,1,5,4,四
27,2,4,3,三
1,7,13,12,千
43,3,4,3,三
61,7,14,13,万
29,10,14,13,万
36,5,14,13,万
49,6,9,8,八
60,10,2,1,一
77,1,12,11,百
99,2,3,2,二
86,7,3,2,二
42,6,14,13,万
94,4,12,11,百
69,2,5,4,四
99,9,9,8,八
73,8,12,11,百
41,2,13,12,千
25,3,6,5,五
5,9,3,2,二
83,4,15,14,亿
9,7,6,5,五
64,3,9,8,八
3,1,15,14,亿
80,2,4,3,三
76,6,1,0,零
23,10,14,13,万
8,2,7,6,六
56,4,6,5,五
88,8,1,0,零
63,8,3,2,二
93,1,8,7,七
38,2,15,14,亿
6,10,15,14,亿
92,8,3,2,二
35,8,5,4,四
24,4,8,7,七
34,7,8,7,七
73,6,6,5,五
50,3,2,1,一
87,7,14,13,万
76,2,3,2,二
10,7,11,10,十
94,9,2,1,一
67,6,2,1,一
65,7,4,3,三
92,8,11,10,十
40,1,10,9,九
72,3,1,0,零
26,5,8,7,七
29,3,10,9,九
11,1,1,0,零
100,1,9,8,八
100,5,8,7,七
42,9,9,8,八
24,4,4,3,三
54,1,12,11,百
38,8,5,4,四
20,5,6,5,五
6,4,10,9,九
61,2,11,10,十
58,5,15,14,亿
24,5,12,11,百
92,4,4,3,三
5,4,7,6,六
97,1,9,8,八
93,3,13,12,千
94,4,6,5,五
72,7,12,11,百
82,4,9,8,八
97,6,4,3,三
28,10,15,14,亿
61,5,9,8,八
28,1,4,3,三
92,6,6,5,五
57,5,13,12,千
32,5,3,2,二
45,1,9,8,八
44,7,12,11,百
68,7,1,0,零
75,9,13,12,千
72,10,6,5,五
83,10,10,9,九
14,3,12,11,百
84,1,8,7,七
2,1,5,4,四
16,10,10,9,九
46,9,15,14,亿
66,2,9,8,八
9,7,8,7,七
90,4,4,3,三
71,7,12,11,百
84,10,10,9,九
60,4,14,13,万
83,6,13,12,千
92,4,15,14,亿
73,7,5,4,四
44,7,11,10,十
31,10,5,4,四
84,3,12,11,百
92,10,4,3,三
94,8,8,7,七
36,1,9,8,八
20,10,8,7,七
32,7,8,7,七
62,8,6,5,五
12,8,10,9,九
22,6,4,3,三
59,1,3,2,二
9,4,7,6,六
55,2,1,0,零
48,6,6,5,五
39,5,2,1,一
30,10,6,5,五
40,7,1,0,零
17,5,14,13,万
70,9,12,11,百
25,9,11,10,十
52,2,6,5,五
85,5,14,13,万
28,1,15,14,亿
99,1,13,12,千
42,3,12,11,百
11,9,6,5,五
7,6,15,14,亿
11,8,7,6,六
77,8,12,11,百
93,6,4,3,三
63,7,1,0,零
76,7,4,3,三
66,9,4,3,三
52,8,12,11,百
60,9,12,11,百
75,9,7,6,六
20,3,7,6,六
89,1,13,12,千
50,10,9,8,八
86,4,3,2,二
56,7,4,3,三
93,4,14,13,万
79,10,8,7,七
21,5,3,2,二
27,9,12,11,百
3,5,15,14,亿
94,5,13,12,千
82,7,6,5,五
71,4,4,3,三
23,4,12,11,百
89,6,12,11,百
86,2,2,1,一
83,1,5,4,四
90,6,9,8,八
55,6,10,9,九
69,7,6,5,五
21,3,7,6,六
69,6,15,14,亿
24,2,10,9,九
66,9,10,9,九
87,3,4,3,三
93,5,3,2,二
45,10,9,8,八
71,1,2,1,一
14,5,15,14,亿
21,3,11,10,十
78,9,5,4,四
69,5,8,7,七
59,3,7,6,六
94,6,4,3,三
84,2,11,10,十
8,10,9,8,八
87,2,3,2,二
70,6,13,12,千
29,7,1,0,零
72,1,15,14,亿
4,6,6,5,五
60,5,8,7,七
57,7,14,13,万
55,5,13,12,千
69,8,4,3,三
84,4,10,9,九
52,6,12,11,百
95,9,6,5,五
57,9,3,2,二
34,6,4,3,三
80,7,7,6,六
29,9,8,7,七
37,6,4,3,三
50,7,15,14,亿
91,5,14,13,万
14,5,10,9,九
11,7,3,2,二
45,5,3,2,二
15,10,8,7,七
100,4,12,11,百
88,2,11,10,十
40,4,10,9,九
41,1,15,14,亿
78,7,11,10,十
43,9,7,6,六
44,4,4,3,三
45,5,1,0,零
78,2,14,13,万
23,4,11,10,十
20,8,7,6,六
25,8,8,7,七
44,5,13,12,千
34,5,3,2,二
72,3,7,6,六
6,8,14,13,万
36,8,4,3,三
2,7,13,12,千
61,2,8,7,七
94,6,1,0,零
36,9,10,9,九
27,3,2,1,一
62,3,3,2,二
16,5,9,8,八
65,9,5,4,四
64,7,6,5,五
40,4,14,13,万
9,3,3,2,二
49,4,5,4,四
27,4,3,2,二
61,7,13,12,千
29,3,2,1,一
61,3,12,11,百
47,1,2,1,一
79,1,12,11,百
82,2,14,13,万
8,2,5,4,四
27,3,5,4,四
16,7,15,14,亿
38,4,10,9,九
24,10,15,14,亿
67,8,15,14,亿
76,3,1,0,零
27,9,13,12,千
36,7,4,3,三
90,5,13,12,千
41,10,7,6,六
35,2,11,10,十
66,8,15,14,亿
48,3,9,8,八
53,9,3,2,二
9,9,3,2,二
42,9,12,11,百
48,10,5,4,四
53,7,4,3,三
66,4,13,12,千
23,9,14,13,万
70,7,3,2,二
68,8,1,0,零
77,10,7,6,六
73,5,9,8,八
47,8,13,12,千
47,10,14,13,万
18,10,11,10,十
80,3,7,6,六
90,1,2,1,一
36,7,9,8,八
31,1,13,12,千
45,9,14,13,万
21,1,14,13,万
59,7,13,12,千
72,9,10,9,九
19,8,10,9,九
100,2,12,11,百
62,8,14,13,万
34,6,2,1,一
20,1,1,0,零
94,7,5,4,四
95,2,1,0,零
53,7,8,7,七
42,4,12,11,百
49,9,9,8,八
76,7,5,4,四
40,4,4,3,三
29,7,15,14,亿
81,8,6,5,五
63,6,1,0,零
70,10,14,13,万
71,10,8,7,七
42,5,3,2,二
1,3,15,14,亿
41,3,4,3,三
92,3,7,6,六
40,4,5,4,四
33,3,14,13,万
75,9,15,14,亿
62,9,7,6,六
19,5,4,3,三
75,9,8,7,七
51,1,15,14,亿
82,6,15,14,亿
22,8,11,10,十
40,9,8,7,七
9,2,3,2,二
16,7,10,9,九
72,2,2,1,一
43,2,13,12,千
48,2,8,7,七
52,8,6,5,五
45,3,10,9,九
63,1,9,8,八
40,1,13,12,千
52,2,7,6,六
62,10,2,1,一
93,9,9,8,八
42,8,1,0,零
30,10,12,11,百
7,6,5,4,四
59,2,1,0,零
59,9,2,1,一
66,9,8,7,七
37,1,1,0,零
100,7,11,10,十
75,1,9,8,八
81,3,13,12,千
55,7,15,14,亿
48,6,12,11,百
70,9,14,13,万
2,4,5,4,四
35,8,15,14,亿
33,8,11,10,十
3,6,4,3,三
86,6,1,0,零
12,2,12,11,百
64,2,9,8,八
68,4,1,0,零
15,4,1,0,零
22,7,15,14,亿
47,5,11,10,十
100,7,15,14,亿
34,10,15,14,亿
28,6,4,3,三
54,2,11,10,十
64,10,9,8,八
85,5,7,6,六
33,5,7,6,六
7,5,4,3,三
87,8,7,6,六
14,4,1,0,零
7,8,10,9,九
7,3,1,0,零
86,10,15,14,亿
26,4,2,1,一
46,4,5,4,四
32,5,15,14,亿
59,10,2,1,一
39,5,8,7,七
14,8,6,5,五
13,3,15,14,亿
28,5,15,14,亿
86,1,11,10,十
56,2,1,0,零
15,1,11,10,十
93,4,2,1,一
8,4,1,0,零
45,6,2,1,一
52,1,12,11,百
50,10,7,6,六
44,2,13,12,千
17,9,11,10,十
52,4,15,14,亿
18,3,4,3,三
63,6,6,5,五
46,8,10,9,九
50,9,4,3,三
82,9,15,14,亿
9,1,2,1,一
94,7,11,10,十
5,1,3,2,二
39,6,13,12,千
35,9,12,11,百
23,2,4,3,三
90,7,5,4,四
69,9,9,8,八
27,8,10,9,九
34,8,3,2,二
70,2,13,12,千
70,1,8,7,七
29,2,3,2,二
60,2,9,8,八
56,8,10,9,九
38,9,15,14,亿
79,9,10,9,九
74,2,10,9,九
47,8,2,1,一
55,10,4,3,三
37,3,2,1,一
87,1,11,10,十
74,1,7,6,六
4,10,9,8,八
72,2,7,6,六
64,5,8,7,七
99,2,11,10,十
39,2,12,11,百
38,4,5,4,四
39,9,1,0,零
91,3,4,3,三
73,3,8,7,七
19,7,1,0,零
5,9,13,12,千
64,4,2,1,一
6,7,1,0,零
32,8,6,5,五
35,7,3,2,二
78,6,6,5,五
39,6,4,3,三
53,2,15,14,亿
55,2,8,7,七
55,8,14,13,万
99,10,5,4,四
26,7,3,2,二
20,8,15,14,亿
77,5,1,0,零
26,5,6,5,五
2,8,9,8,八
31,7,10,9,九
94,9,9,8,八
3,1,8,7,七
92,2,7,6,六
96,10,6,5,五
93,10,1,0,零
63,10,4,3,三
43,1,9,8,八
65,5,13,12,千
